Time [s],Channel 0,Channel 2
6.353024160,1,0
6.353027840,1,1
6.358024000,0,1
6.358028000,0,0
6.363024000,1,0
6.363027680,1,1
6.368023840,0,1
6.368027680,0,0
6.373023840,1,0
6.373027520,1,1
6.378023680,0,1
6.378027520,0,0
6.383023520,1,0
6.383027360,1,1
6.388023520,0,1
6.388027360,0,0
6.393023360,1,0
6.393027200,1,1
6.398023360,0,1
6.398027200,0,0
6.403023200,1,0
6.403027040,1,1
6.408023200,0,1
6.408027040,0,0
6.413023040,1,0
6.413026880,1,1
6.418023040,0,1
6.418026880,0,0
6.423022880,1,0
6.423026720,1,1
6.428022880,0,1
6.428026720,0,0
6.433022720,1,0
6.433026560,1,1
6.438022560,0,1
6.438026560,0,0
6.443022560,1,0
6.443026400,1,1
6.448022400,0,1
6.448026400,0,0
6.453022400,1,0
6.453026080,1,1
6.458022240,0,1
6.458026080,0,0
6.463022240,1,0
6.463025120,1,1
6.468022080,0,1
6.468025120,0,0
6.473021920,1,0
6.473025920,1,1
6.478021920,0,1
6.478025760,0,0
6.483021760,1,0
6.483025600,1,1
6.488021760,0,1
6.488025600,0,0
6.493021600,1,0
6.493025440,1,1
6.498021600,0,1
6.498025440,0,0
6.503021440,1,0
6.503025280,1,1
6.508021440,0,1
6.508025280,0,0
6.513021280,1,0
6.513025120,1,1
6.518021280,0,1
6.518025120,0,0
6.523021120,1,0
6.523024960,1,1
6.528020960,0,1
6.528024960,0,0
6.533020960,1,0
6.533024800,1,1
6.538020800,0,1
6.538024640,0,0
6.543020800,1,0
6.543024480,1,1
6.548020640,0,1
6.548024480,0,0
6.553020640,1,0
6.553024320,1,1
6.558020480,0,1
6.558024320,0,0
6.563020320,1,0
6.563024160,1,1
6.568020320,0,1
6.568024160,0,0
6.573020160,1,0
6.573024000,1,1
6.578020160,0,1
6.578024000,0,0
6.583020000,1,0
6.583023840,1,1
6.588020000,0,1
6.588023840,0,0
6.593019840,1,0
6.593023680,1,1
6.598019840,0,1
6.598023680,0,0
6.603019680,1,0
6.603023520,1,1
6.608019680,0,1
6.608023520,0,0
6.613019520,1,0
6.613023360,1,1
6.618019360,0,1
6.618023360,0,0
6.623019360,1,0
6.623023040,1,1
6.628019200,0,1
